Country(or dependent territory),Population
China[b],1406458760
India[c],1372816003
United States[d],331091979
Indonesia,270203917
Pakistan[e],225200000
Brazil,212682678
Nigeria,211401000
Bangladesh,170087850
Russia[f],146238185
Mexico,126014024
Japan,125570000
Philippines,109773891
Ethiopia,109224414
DR Congo,106731000
Egypt,101507108
Vietnam,97580000
Iran,84163165
Germany,83190556
Turkey,83154997
France[g],67407000
United Kingdom[h],66796807
Thailand,66606792
South Africa,59622350
Tanzania[i],59441988
Italy,59353935
Myanmar,55294979
South Korea,51825932
Colombia,51049498
Kenya,47564296
Spain,47450795
Argentina,45808747
Algeria,44700000
Sudan,43196815
Uganda,42885900
Ukraine[j],41629926
Iraq,41190700
Canada,38335852
Poland,38268000
Morocco[k],36150814
Uzbekistan,34670764
Saudi Arabia,34218169
Peru,33035304
Afghanistan,32890171
Malaysia,32736850
Angola,32097671
Ghana,30955202
Mozambique,30832244
Yemen,30491000
Nepal,30378055
Venezuela,28705000
Ivory Coast,27087732
Madagascar,26923353
Australia,25740693
North Korea,25660000
Cameroon,24348251
Niger,24112753
Taiwan[l],23561236
Sri Lanka,21919000
Burkina Faso,21510181
Mali,20856000
Chile,19678363
Romania,19317984
Malawi,18898441
Kazakhstan,18862352
Zambia,18400556
Syria,18276000
Ecuador,17662904
Netherlands[m],17557781
Senegal,17223497
Guatemala,17109746
Chad,16818391
Somalia[n],16360000
Zimbabwe,15790716
Cambodia,15552211
South Sudan,13249924
Rwanda,12955768
Guinea,12907395
Burundi,12574571
Benin,12506347
Bolivia,11797257
Haiti,11743017
Tunisia,11708370
Belgium,11556142
Cuba,11193470
Jordan,10870216
Greece,10718565
Czech Republic,10707839
Dominican Republic,10535535
Sweden,10380245
Portugal,10295909
Azerbaijan,10123400
Hungary,9769526
Honduras,9450711
Belarus,9408350
United Arab Emirates,9366829
Israel,9305860
Tajikistan,9313800
Austria,8935112
Papua New Guinea,8935000
Switzerland,8655100
Sierra Leone,8297882
Togo,7886000
Hong Kong,7509200
Paraguay,7353038
Laos,7337783
Libya,6959000
Bulgaria,6951482
Serbia[o],6926705
El Salvador,6825935
Lebanon,6769000
Kyrgyzstan,6626800
Nicaragua,6527691
Turkmenistan,6118000
Denmark[p],5837213
Singapore,5685807
Congo,5657000
Central African Republic,5633412
Finland[q],5506029
Slovakia,5464060
Norway,5384576
Palestine,5227193
Costa Rica,5163038
New Zealand,5111469
Ireland,4977400
Liberia,4661010
Oman,4471148
Kuwait,4464521
Panama,4278500
Mauritania,4271197
Croatia,4058165
Georgia[r],3716858
Eritrea,3601000
Uruguay,3554915
Mongolia,3360580
Bosnia and Herzegovina,3332593
Puerto Rico (US),3193694
Armenia,2967900
Albania,2845955
Lithuania,2795175
Jamaica,2734093
Qatar,2717360
Moldova[s],2640438
Namibia,2550226
Botswana,2410338
Gambia,2335504
Gabon,2233272
Slovenia,2100126
North Macedonia,2076255
Lesotho,2007201
Latvia,1893700
Kosovo[t],1782115
Guinea-Bissau,1646077
Bahrain,1503091
Equatorial Guinea,1454789
Trinidad and Tobago,1366725
Estonia,1328976
East Timor,1317780
Mauritius,1266000
Eswatini,1093238
Djibouti,976107
Fiji,889327
Cyprus[u],888005
Comoros,758316
Bhutan,756129
Guyana,744962
Solomon Islands,721455
Macau,682800
Luxembourg,626108
Montenegro,621873
Western Sahara[v],612000
Suriname,590100
Cape Verde,563198
Malta,514564
Transnistria[w],469000
Brunei,459500
Belize,419199
Bahamas,393450
Maldives,383135
Northern Cyprus[x],372486
Iceland,368590
Vanuatu,304500
Barbados,288000
French Polynesia (France),278400
New Caledonia (France),271407
Abkhazia[y],245424
São Tomé and Príncipe,214610
Samoa,204138
Saint Lucia,178696
Guam (US),172400
Curaçao (Netherlands),156223
Republic of Artsakh[z],148800
Kiribati,120100
Grenada,113000
Aruba (Netherlands),111904
Saint Vincent and the Grenadines,110696
Jersey (UK),107800
F.S. Micronesia,104832
U.S. Virgin Islands (US),104000
Tonga,100651
Seychelles,98462
Antigua and Barbuda,97895
Isle of Man (UK),83314
Andorra,77543
Dominica,72000
Cayman Islands (UK),64958
Bermuda (UK),64055
Guernsey (UK),63021
American Samoa (US),56700
Greenland (Denmark),56379
Northern Mariana Islands (US),56200
Marshall Islands,55500
Saint Kitts and Nevis,54000
South Ossetia[aa],53532
Faroe Islands (Denmark),52920
Turks and Caicos Islands (UK),42953
Sint Maarten (Netherlands),40614
Liechtenstein,38896
Monaco,38100
Saint Martin (France),34065
Gibraltar (UK),34003
San Marino,33627
Åland Islands (Finland),30117
British Virgin Islands (UK),30000
Palau,17900
Cook Islands (NZ),15200
Anguilla (UK),15000
Wallis and Futuna (France),11558
Nauru,11000
Tuvalu,10507
Saint Barthélemy (France),10124
Saint Pierre and Miquelon (France),5985
"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633
Montserrat (UK),5000
Falkland Islands (UK),3198
Christmas Island (Australia),1955
Niue (NZ),1784
Norfolk Island (Australia),1735
Tokelau (NZ),1499
Vatican City[ab],825
Cocos (Keeling) Islands (Australia),555
Pitcairn Islands (UK),50
World,7844765000
